,description,host_name,item_name,unit
0,,MC/kk(172.99.13.146),USER port inbound,bit
,clock,value
0,2015-08-31 17:00:03,83742672
1,2015-08-31 17:00:33,325226608
2,2015-08-31 17:01:03,986978000
3,2015-08-31 17:01:33,986985664
4,2015-08-31 17:02:03,986283504
5,2015-08-31 17:02:33,987674000
6,2015-08-31 17:03:03,986984248
7,2015-08-31 17:03:33,986980624
8,2015-08-31 17:04:03,986984224
9,2015-08-31 17:04:33,986977472
10,2015-08-31 17:05:03,986983712
11,2015-08-31 17:05:33,986982984
12,2015-08-31 17:06:03,986982712
13,2015-08-31 17:06:33,986938176
14,2015-08-31 17:07:03,987024920
15,2015-08-31 17:07:33,986974928
16,2015-08-31 17:08:03,986985248
17,2015-08-31 17:08:33,986982464
18,2015-08-31 17:09:03,986979464
19,2015-08-31 17:09:33,986975056
20,2015-08-31 17:10:03,986952712
21,2015-08-31 17:10:33,987017040
22,2015-08-31 17:11:03,986973152
23,2015-08-31 17:11:33,986975128
24,2015-08-31 17:12:03,986994920
25,2015-08-31 17:12:33,986980912
26,2015-08-31 17:13:03,986967528
27,2015-08-31 17:13:33,986993920
28,2015-08-31 17:14:03,986979632
29,2015-08-31 17:14:33,986973872
30,2015-08-31 17:15:03,986986088
31,2015-08-31 17:15:33,986976240
32,2015-08-31 17:16:03,986989376
33,2015-08-31 17:16:33,986979936
34,2015-08-31 17:17:03,367143240
35,2015-08-31 17:17:33,986937048
36,2015-08-31 17:18:03,986962920
37,2015-08-31 17:18:36,929290176
38,2015-08-31 17:19:03,1057260576
39,2015-08-31 17:19:33,986942336
40,2015-08-31 17:20:03,986955224
41,2015-08-31 17:20:33,986949056
42,2015-08-31 17:21:03,986948056
43,2015-08-31 17:21:33,986942944
44,2015-08-31 17:22:03,986947768
45,2015-08-31 17:22:33,986953776
46,2015-08-31 17:23:03,986933400
47,2015-08-31 17:23:33,986964624
48,2015-08-31 17:24:03,986950456
49,2015-08-31 17:24:33,986950168
50,2015-08-31 17:25:03,986946232
51,2015-08-31 17:25:33,986950296
52,2015-08-31 17:26:03,986946456
53,2015-08-31 17:26:33,986950320
54,2015-08-31 17:27:03,986949232
55,2015-08-31 17:27:33,986950128
56,2015-08-31 17:28:03,986945216
57,2015-08-31 17:28:33,986949512
58,2015-08-31 17:29:03,986949200
59,2015-08-31 17:29:33,986950376
60,2015-08-31 17:30:03,986942288
61,2015-08-31 17:30:33,986943448
62,2015-08-31 17:31:03,986957864
63,2015-08-31 17:31:33,986951120
64,2015-08-31 17:32:03,986945120
65,2015-08-31 17:32:33,986950088
66,2015-08-31 17:33:03,986548872
67,2015-08-31 17:33:33,987362520
